paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
401,20,902,2,2,0,0,3,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=2; MF9=902
562,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
563,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[制裁]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
564,30,903,5,2,3,0,1,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
565,20,904,4,3,3,3,0,PolicySalience=3[立法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=4; MF9=904
566,30,903,5,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=3[军事]; DataAccess=0; MT=30; MY=5; MF9=903
567,30,903,5,2,0,0,3,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[数据库]; MT=30; MY=5; MF9=903
568,30,903,5,3,3,0,1,PolicySalience=3[指标体系]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=30; MY=5; MF9=903
569,20,904,3,3,3,3,2,PolicySalience=3[立法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=2[编码\b]; MT=20; MY=3; MF9=904
570,20,904,4,3,2,0,0,PolicySalience=3[条款]; PoliticalSensitivity=2[跨部门]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
571,20,904,3,3,0,0,0,PolicySalience=3[试点]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
572,10,908,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[反恐怖]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=908
573,30,903,5,2,3,0,1,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
574,40,901,3,3,2,0,0,PolicySalience=3[标准]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
575,20,906,3,3,3,0,1,PolicySalience=3[办法]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=906
576,20,904,4,3,0,0,2,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[问卷]; MT=20; MY=4; MF9=904
577,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
578,30,903,5,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
579,20,906,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
580,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
581,20,901,2,3,3,0,2,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=2[样本]; MT=20; MY=2; MF9=901
582,40,901,3,2,3,1,0,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=1[官网]; DataAccess=0; MT=40; MY=3; MF9=901
583,40,901,3,3,3,0,0,PolicySalience=3[程序]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
584,30,903,5,3,2,0,0,PolicySalience=3[程序]; PoliticalSensitivity=2[口岸]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
585,20,908,2,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=908
586,20,904,3,2,0,0,2,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[编码\b]; MT=20; MY=3; MF9=904
587,20,904,3,3,3,0,3,PolicySalience=3[立法]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
588,30,902,5,2,0,0,3,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[实验]; MT=30; MY=5; MF9=902
589,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
590,20,904,3,2,3,3,2,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=2[编码\b]; MT=20; MY=3; MF9=904
591,20,904,3,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
592,20,904,3,3,3,3,0,PolicySalience=3[立法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
593,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
594,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
595,10,908,1,3,2,0,3,PolicySalience=3[条款]; PoliticalSensitivity=2[数据安全]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=10; MY=1; MF9=908
596,30,903,5,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
597,40,908,3,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=40; MY=3; MF9=908
598,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
599,40,907,3,3,0,1,1,PolicySalience=3[指标体系]; PoliticalSensitivity=0; SecrecyConstraint=1[统计年鉴]; DataAccess=1[文献综述]; MT=40; MY=3; MF9=907
600,20,904,3,2,3,0,1,PolicySalience=2[对策]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
