paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
1,40,901,3,2,3,0,2,PolicySalience=2[对策]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=2[编码\b]; MT=40; MY=3; MF9=901
165,40,901,3,3,3,3,0,PolicySalience=3[实施细则]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
166,40,901,3,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
167,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
168,20,901,2,3,3,1,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=20; MY=2; MF9=901
169,40,901,3,3,3,3,0,PolicySalience=3[规定]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
170,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[社会稳定]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
171,40,901,3,3,0,0,0,PolicySalience=3[程序]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
172,10,909,1,0,0,0,0,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
173,40,901,3,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
174,40,901,3,0,3,0,0,PolicySalience=0; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
175,40,901,3,3,3,0,0,PolicySalience=3[考核]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
176,40,901,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
177,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
178,30,902,5,1,3,3,3,PolicySalience=1[政策]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=3[军事]; DataAccess=3[实验]; MT=30; MY=5; MF9=902
179,10,909,1,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
180,40,901,3,1,3,0,1,PolicySalience=1[战略]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=40; MY=3; MF9=901
181,40,901,3,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
182,40,901,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
183,10,909,1,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
184,10,909,1,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
185,20,904,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
186,40,901,3,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
187,10,909,1,0,0,0,0,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
188,40,901,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[涉密]; SecrecyConstraint=3[涉密]; DataAccess=0; MT=40; MY=3; MF9=901
189,40,901,3,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
190,40,901,3,1,0,0,0,PolicySalience=1[国家战略]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
191,40,901,3,3,3,3,0,PolicySalience=3[标准]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
192,10,909,1,0,3,3,1,PolicySalience=0; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[理论分析]; MT=10; MY=1; MF9=909
193,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
194,40,901,3,0,3,0,0,PolicySalience=0; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
195,20,901,2,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[新疆]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
196,10,909,1,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
197,30,903,5,2,3,3,0,PolicySalience=2[机制构建]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=30; MY=5; MF9=903
198,10,909,1,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
199,40,901,3,1,3,0,0,PolicySalience=1[战略]; PoliticalSensitivity=3[西藏]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
200,40,901,3,0,2,0,0,PolicySalience=0; PoliticalSensitivity=2[边境]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
